_id,﻿,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
6093a6d4e3b5f44c89d7dca2,0,2019/01/01,Y,中華民國開國紀念日/元旦,12,141691,16℃,19℃,小雨~中雨,74918,66923,Y,0,38.338
6093a6d4e3b5f44c89d7dca3,1,2019/01/02,N,0,12,141691,16℃,18℃,小雨~中雨,76772,66254,Y,0,23.72
6093a6d4e3b5f44c89d7dca4,2,2019/01/03,N,0,12,141691,17℃,20℃,小雨,80331,67465,Y,0,24.698
6093a6d4e3b5f44c89d7dca5,3,2019/01/04,N,0,12,141691,18℃,26℃,多云,85491,71544,Y,0,21.669
6093a6d4e3b5f44c89d7dca6,4,2019/01/05,Y,週六,12,141691,17℃,21℃,阴~小雨,86558,69783,Y,0,40.014
6093a6d4e3b5f44c89d7dca7,5,2019/01/06,Y,週日,12,141691,16℃,19℃,小雨,82141,72411,Y,0,55.798
6093a6d4e3b5f44c89d7dca8,6,2019/01/07,N,0,12,141691,18℃,23℃,多云~小雨,72579,66503,Y,0,27.598
6093a6d4e3b5f44c89d7dca9,7,2019/01/08,N,0,12,141691,17℃,20℃,小雨,72073,70538,Y,0,22.769
6093a6d4e3b5f44c89d7dcaa,8,2019/01/09,N,0,12,141691,17℃,21℃,小雨~多云,75188,78746,Y,0,22.159
6093a6d4e3b5f44c89d7dcab,9,2019/01/10,N,0,12,141691,19℃,24℃,小雨~多云,77255,82587,Y,0,19.055
6093a6d4e3b5f44c89d7dcac,10,2019/01/11,N,0,12,141691,18℃,23℃,多云,80647,94375,Y,0,14.421
6093a6d4e3b5f44c89d7dcad,11,2019/01/12,Y,週六,12,141691,17℃,18℃,小雨,81081,92763,Y,0,35.984
6093a6d4e3b5f44c89d7dcae,12,2019/01/13,Y,週日,12,141691,15℃,18℃,小雨,81925,86409,Y,0,17.803
6093a6d4e3b5f44c89d7dcaf,13,2019/01/14,N,0,12,141691,16℃,21℃,多云,76681,76057,Y,0,21.929
6093a6d4e3b5f44c89d7dcb0,14,2019/01/15,N,0,12,141691,17℃,23℃,小雨,88326,81198,Y,0,21.945
6093a6d4e3b5f44c89d7dcb1,15,2019/01/16,N,0,12,141691,16℃,19℃,中雨,84688,78996,Y,0,18.623
6093a6d4e3b5f44c89d7dcb2,16,2019/01/17,N,0,12,141691,15℃,17℃,小雨,71515,73338,Y,0,38.122
6093a6d4e3b5f44c89d7dcb3,17,2019/01/18,N,0,12,141691,16℃,20℃,多云,63345,68908,Y,0,24.126
6093a6d4e3b5f44c89d7dcb4,18,2019/01/19,N,0,12,141691,18℃,22℃,阴~多云,61449,69010,Y,0,37.002
6093a6d4e3b5f44c89d7dcb5,19,2019/01/20,Y,週日,12,141691,15℃,21℃,小雨,64715,79466,Y,0,42.417
6093a6d4e3b5f44c89d7dcb6,20,2019/01/21,N,0,12,141691,14℃,17℃,小雨,55618,72005,Y,0,30.817
6093a6d4e3b5f44c89d7dcb7,21,2019/01/22,N,0,12,141691,13℃,16℃,小雨~多云,52024,63731,Y,0,20.083
6093a6d4e3b5f44c89d7dcb8,22,2019/01/23,N,0,12,141691,15℃,18℃,多云,53116,61192,Y,0,12.869
6093a6d4e3b5f44c89d7dcb9,23,2019/01/24,N,0,12,141691,15℃,19℃,阴~多云,58432,64174,Y,0,18.179
6093a6d4e3b5f44c89d7dcba,24,2019/01/25,N,0,12,141691,13℃,20℃,多云~阴,66644,69788,Y,0,20.162
6093a6d4e3b5f44c89d7dcbb,25,2019/01/26,Y,週六,12,141691,12℃,15℃,小雨,66633,73733,Y,0,43.154
6093a6d4e3b5f44c89d7dcbc,26,2019/01/27,Y,週日,12,141691,14℃,17℃,小雨~多云,67263,80025,Y,0,45.836
6093a6d4e3b5f44c89d7dcbd,27,2019/01/28,N,春節前週一,12,141691,16℃,20℃,多云~小雨,61978,78310,Y,0,24.889
6093a6d4e3b5f44c89d7dcbe,28,2019/01/29,N,春節前週二,12,141691,17℃,21℃,多云~晴,60000,74935,Y,0,33.699
6093a6d4e3b5f44c89d7dcbf,29,2019/01/30,N,春節前週三,12,141691,15℃,22℃,多云~晴,62485,71699,Y,0,20.259
6093a6d4e3b5f44c89d7dcc0,30,2019/01/31,N,春節前週四,12,141691,13℃,23℃,小雨,67061,74886,Y,0,28.449
6093a6d4e3b5f44c89d7dcc1,31,2019/02/01,N,春節前週五,12,141691,14℃,17℃,小雨~阴,73751,84144,Y,0,29.758
6093a6d4e3b5f44c89d7dcc2,32,2019/02/02,Y,春節前週六,12,141691,17℃,23℃,多云,74935,84832,Y,0,62.188
6093a6d4e3b5f44c89d7dcc3,33,2019/02/03,Y,春節前週日,12,141691,17℃,25℃,多云~小雨,76958,90522,Y,0,61.788
6093a6d4e3b5f44c89d7dcc4,34,2019/02/04,Y,夕除,12,141691,17℃,20℃,小雨,73600,81469,Y,0,23.058
6093a6d4e3b5f44c89d7dcc5,35,2019/02/05,Y,春節,12,141691,16℃,22℃,小雨~多云,73706,76445,Y,0,10.016
6093a6d4e3b5f44c89d7dcc6,36,2019/02/06,Y,農曆初二,12,141691,17℃,24℃,多云,75224,75586,Y,0,17.39
6093a6d4e3b5f44c89d7dcc7,37,2019/02/07,Y,農曆初三,12,141691,17℃,25℃,多云~小雨,81982,75327,Y,0,19.523
6093a6d4e3b5f44c89d7dcc8,38,2019/02/08,Y,農曆初四,12,141691,17℃,20℃,小雨~阴,86910,82307,Y,0,25.98
6093a6d4e3b5f44c89d7dcc9,39,2019/02/09,Y,農曆初五,12,141691,16℃,18℃,小雨,88069,80947,Y,0,41.58
6093a6d4e3b5f44c89d7dcca,40,2019/02/10,Y,農曆初二,12,141691,17℃,20℃,小雨,89765,82609,Y,0,62.812
6093a6d4e3b5f44c89d7dccb,41,2019/02/11,N,0,12,141691,16℃,19℃,小雨,51603,61931,Y,0,34.112
6093a6d4e3b5f44c89d7dccc,42,2019/02/12,N,0,12,141691,17℃,23℃,多云~阴,33371,46794,Y,0,24.274
6093a6d4e3b5f44c89d7dccd,43,2019/02/13,N,0,12,141691,18℃,20℃,小雨~阴,49019,66766,Y,0,14.897
6093a6d4e3b5f44c89d7dcce,44,2019/02/14,N,0,12,141691,18℃,21℃,小雨~阴,54794,72545,Y,0,23.704
6093a6d4e3b5f44c89d7dccf,45,2019/02/15,N,0,12,141691,17℃,22℃,小雨,57607,78560,Y,0,10.984
6093a6d4e3b5f44c89d7dcd0,46,2019/02/16,Y,週六,12,141691,16℃,19℃,小雨,61680,81877,Y,0,19.981
6093a6d4e3b5f44c89d7dcd1,47,2019/02/17,Y,週日,12,141691,16℃,20℃,小雨,53848,73446,Y,0,39.872
6093a6d4e3b5f44c89d7dcd2,48,2019/02/18,N,0,12,141691,18℃,23℃,小雨~阴,46693,57896,Y,0,14.356
6093a6d4e3b5f44c89d7dcd3,49,2019/02/19,N,元宵節,12,141691,18℃,23℃,多云,33226,62139,Y,0,18.963
6093a6d4e3b5f44c89d7dcd4,50,2019/02/20,N,0,12,141691,18℃,24℃,多云~小雨,52944,70562,Y,0,19.845
6093a6d4e3b5f44c89d7dcd5,51,2019/02/21,N,0,12,141691,17℃,20℃,小雨,62825,74913,Y,0,13.102
6093a6d4e3b5f44c89d7dcd6,52,2019/02/22,N,0,12,141691,13℃,18℃,小雨,65302,72285,Y,0,15.837
6093a6d4e3b5f44c89d7dcd7,53,2019/02/23,N,0,12,141691,13℃,15℃,小雨~中雨,70167,75616,Y,0,36.489
6093a6d4e3b5f44c89d7dcd8,54,2019/02/24,Y,週日,12,141691,13℃,16℃,中雨~小雨,72154,76538,Y,0,51.117
6093a6d4e3b5f44c89d7dcd9,55,2019/02/25,N,0,12,141691,15℃,18℃,小雨,65032,72578,Y,0,19.924
6093a6d4e3b5f44c89d7dcda,56,2019/02/26,N,0,12,141691,16℃,19℃,阴~多云,58642,66190,Y,0,31.039
6093a6d4e3b5f44c89d7dcdb,57,2019/02/27,N,0,12,141691,17℃,22℃,多云~阴,51689,63972,Y,0,18.126
6093a6d4e3b5f44c89d7dcdc,58,2019/02/28,Y,228連假,12,141691,15℃,19℃,小雨~阴,38813,52154,Y,0,26.288
6093a6d4e3b5f44c89d7dcdd,59,2019/03/01,Y,228彈性放假,12,141691,16℃,20℃,阴~小雨,52483,66296,Y,0,25.24
6093a6d4e3b5f44c89d7dcde,60,2019/03/02,Y,週六,12,141691,18℃,23℃,多云~小雨,52992,63126,Y,0,28.53
6093a6d4e3b5f44c89d7dcdf,61,2019/03/03,Y,週日,12,141691,14℃,20℃,中雨~阴,50944,71124,Y,0,45.107
6093a6d4e3b5f44c89d7dce0,62,2019/03/04,N,0,12,141691,14℃,22℃,阴~小雨,46946,70288,Y,0,26.165
6093a6d4e3b5f44c89d7dce1,63,2019/03/05,N,0,12,141691,16℃,22℃,阴~小雨,53686,69717,Y,0,16.378
6093a6d4e3b5f44c89d7dce2,64,2019/03/06,N,0,12,141691,14℃,19℃,小雨~中雨,62789,78367,Y,0,29.913
6093a6d4e3b5f44c89d7dce3,65,2019/03/07,N,0,12,141691,12℃,15℃,中雨,61423,72216,Y,0,22.629
6093a6d4e3b5f44c89d7dce4,66,2019/03/08,N,婦女節,12,141691,13℃,17℃,中雨~大雨,76363,78292,Y,0,35.176
6093a6d4e3b5f44c89d7dce5,67,2019/03/09,Y,週六,12,141691,16℃,20℃,大雨,70643,76867,Y,0,51.543
6093a6d4e3b5f44c89d7dce6,68,2019/03/10,Y,週日,12,141691,14℃,17℃,小雨~多云,66910,86282,Y,0,43.402
6093a6d4e3b5f44c89d7dce7,69,2019/03/11,N,0,12,141691,14℃,18℃,小雨~多云,61240,81317,Y,0,34.387
6093a6d4e3b5f44c89d7dce8,70,2019/03/12,N,0,12,141691,17℃,22℃,晴,59404,86832,Y,0,28.516
6093a6d4e3b5f44c89d7dce9,71,2019/03/13,N,0,12,141691,16℃,22℃,小雨~多云,67655,96744,Y,0,20.849
6093a6d4e3b5f44c89d7dcea,72,2019/03/14,N,0,12,141691,15℃,22℃,阴~小雨,72737,97992,Y,0,16.172
6093a6d4e3b5f44c89d7dceb,73,2019/03/15,N,0,12,141691,15℃,19℃,多云,86394,80172,Y,0,14.026
6093a6d4e3b5f44c89d7dcec,74,2019/03/16,Y,週六,12,141691,16℃,20℃,阴~多云,91612,61377,Y,0,33.967
6093a6d4e3b5f44c89d7dced,75,2019/03/17,Y,週日,12,141691,18℃,22℃,多云~小雨,101329,75571,Y,0,40.009
6093a6d4e3b5f44c89d7dcee,76,2019/03/18,N,0,12,141691,17℃,22℃,阴~多云,90794,71156,Y,0,22.001
6093a6d4e3b5f44c89d7dcef,77,2019/03/19,N,0,12,141691,18℃,23℃,阴~多云,80480,64359,Y,0,24.264
6093a6d4e3b5f44c89d7dcf0,78,2019/03/20,N,0,12,141691,19℃,26℃,多云,73826,64088,Y,0,23.522
6093a6d4e3b5f44c89d7dcf1,79,2019/03/21,N,0,12,141691,19℃,26℃,多云~小雨,74616,70635,Y,0,18.954
6093a6d4e3b5f44c89d7dcf2,80,2019/03/22,N,0,12,141691,14℃,20℃,小雨,79725,75973,Y,0,19.83
6093a6d4e3b5f44c89d7dcf3,81,2019/03/23,Y,週六,12,141691,14℃,17℃,小雨,75996,74205,Y,0,39.559
6093a6d4e3b5f44c89d7dcf4,82,2019/03/24,Y,週日,12,141691,16℃,19℃,小雨,84587,84486,Y,0,53.035
6093a6d4e3b5f44c89d7dcf5,83,2019/03/25,N,0,12,141691,16℃,21℃,小雨~多云,76344,79713,Y,0,23.724
6093a6d4e3b5f44c89d7dcf6,84,2019/03/26,N,0,12,141691,16℃,22℃,多云,72578,76278,Y,0,25.476
6093a6d4e3b5f44c89d7dcf7,85,2019/03/27,N,0,12,141691,18℃,24℃,多云,57981,74180,Y,0,13.314
6093a6d4e3b5f44c89d7dcf8,86,2019/03/28,N,0,12,141691,20℃,27℃,阴~多云,44289,62083,Y,0,17.253
6093a6d4e3b5f44c89d7dcf9,87,2019/03/29,N,青年節,12,141691,18℃,23℃,小雨~中雨,57519,72111,Y,0,19.989
6093a6d4e3b5f44c89d7dcfa,88,2019/03/30,Y,週六,12,141691,18℃,23℃,阴~小雨,83335,76852,Y,0,31.726
6093a6d4e3b5f44c89d7dcfb,89,2019/03/31,Y,週日,12,141691,15℃,19℃,小雨,84438,87931,Y,0,35.617
6093a6d4e3b5f44c89d7dcfc,90,2019/04/01,N,0,12,141691,16℃,20℃,小雨,80364,84991,Y,0,22.818
6093a6d4e3b5f44c89d7dcfd,91,2019/04/02,N,0,12,141691,18℃,22℃,小雨,73149,78377,Y,0,23.68
6093a6d4e3b5f44c89d7dcfe,92,2019/04/03,N,0,12,141691,19℃,22℃,小雨~多云,78096,77722,Y,0,21.975
6093a6d4e3b5f44c89d7dcff,93,2019/04/04,Y,兒童節,12,141691,19℃,25℃,阴,83076,76539,Y,0,32.336
6093a6d4e3b5f44c89d7dd00,94,2019/04/05,Y,清明節,12,141691,19℃,23℃,阴~多云,71724,78757,Y,0,18.592
6093a6d4e3b5f44c89d7dd01,95,2019/04/06,Y,週六,12,141691,20℃,25℃,多云,88152,80044,Y,0,32.022
6093a6d4e3b5f44c89d7dd02,96,2019/04/07,Y,週日,12,141691,21℃,25℃,多云,86588,90052,Y,0,22.839
6093a6d4e3b5f44c89d7dd03,97,2019/04/08,N,0,12,141691,20℃,26℃,多云,79834,84855,Y,0,19.941
6093a6d4e3b5f44c89d7dd04,98,2019/04/09,N,0,12,141691,22℃,27℃,多云,75689,81974,Y,0,0.608
6093a6d4e3b5f44c89d7dd05,99,2019/04/10,N,0,12,141691,18℃,27℃,阴,78037,83378,Y,0,21.565
6093a6d4e3b5f44c89d7dd06,100,2019/04/11,N,0,12,141691,17℃,24℃,小雨~中雨,73264,86926,Y,0,12.267
6093a6d4e3b5f44c89d7dd07,101,2019/04/12,N,0,12,141691,17℃,21℃,阴~小雨,56236,79503,Y,0,19.434
6093a6d4e3b5f44c89d7dd08,102,2019/04/13,Y,週六,12,141691,20℃,25℃,阴~小雨,81375,91774,Y,0,28.629
6093a6d4e3b5f44c89d7dd09,103,2019/04/14,Y,週日,12,141691,18℃,23℃,小雨,81834,95806,Y,0,37.889
6093a6d4e3b5f44c89d7dd0a,104,2019/04/15,N,0,12,141691,19℃,22℃,小雨,71111,78547,Y,0,29.998
6093a6d4e3b5f44c89d7dd0b,105,2019/04/16,N,0,12,141691,19℃,22℃,小雨,69249,78077,Y,0,18.101
6093a6d4e3b5f44c89d7dd0c,106,2019/04/17,N,0,12,141691,19℃,23℃,多云,76440,92445,Y,0,23.905
6093a6d4e3b5f44c89d7dd0d,107,2019/04/18,N,0,12,141691,21℃,25℃,阴,78434,88998,Y,0,17.474
6093a6d4e3b5f44c89d7dd0e,108,2019/04/19,N,0,12,141691,21℃,25℃,中雨~大雨,83039,64673,Y,0,17.471
6093a6d4e3b5f44c89d7dd0f,109,2019/04/20,Y,週六,12,141691,22℃,25℃,小雨,87430,74440,Y,0,35.82
6093a6d4e3b5f44c89d7dd10,110,2019/04/21,Y,週日,12,141691,22℃,25℃,小雨,107353,90761,Y,0,31.66
6093a6d4e3b5f44c89d7dd11,111,2019/04/22,N,0,12,141691,22℃,26℃,小雨~阴,89970,83713,Y,0,18.881
6093a6d4e3b5f44c89d7dd12,112,2019/04/23,N,0,12,141691,22℃,28℃,多云,79872,74347,Y,0,16.616
6093a6d4e3b5f44c89d7dd13,113,2019/04/24,N,0,12,141691,22℃,28℃,阴,76099,74452,Y,0,18.367
6093a6d4e3b5f44c89d7dd14,114,2019/04/25,N,0,12,141691,22℃,28℃,多云~小雨,79922,75935,Y,0,17.719
6093a6d4e3b5f44c89d7dd15,115,2019/04/26,N,0,12,141691,21℃,26℃,小雨,88215,83344,Y,0,16.258
6093a6d4e3b5f44c89d7dd16,116,2019/04/27,Y,週六,12,141691,21℃,25℃,小雨~阴,88787,76072,Y,0,37.78
6093a6d4e3b5f44c89d7dd17,117,2019/04/28,Y,週日,12,141691,22℃,26℃,小雨~多云,90238,84520,Y,0,32.652
6093a6d4e3b5f44c89d7dd18,118,2019/04/29,N,0,12,141691,22℃,26℃,多云~阴,85470,86863,Y,0,20.109
6093a6d4e3b5f44c89d7dd19,119,2019/04/30,N,0,12,141691,21℃,28℃,小雨~大雨,81283,79527,Y,0,19.694
6093a6d4e3b5f44c89d7dd1a,120,2019/05/01,N,勞動節,12,141691,19℃,22℃,小雨~多云,81767,77208,Y,0,30.498
6093a6d4e3b5f44c89d7dd1b,121,2019/05/02,N,0,12,141691,19℃,22℃,中雨~小雨,83505,83337,Y,0,13.979
6093a6d4e3b5f44c89d7dd1c,122,2019/05/03,N,0,12,141691,20℃,23℃,阴~小雨,89830,86939,Y,0,18.569
6093a6d4e3b5f44c89d7dd1d,123,2019/05/04,Y,週六,12,141691,21℃,25℃,小雨~阴,91223,93135,Y,0,24.932
6093a6d4e3b5f44c89d7dd1e,124,2019/05/05,Y,週日,12,141691,22℃,25℃,阴~小雨,93642,96277,Y,0,35.485
6093a6d4e3b5f44c89d7dd1f,125,2019/05/06,N,0,12,141691,20℃,23℃,小雨~中雨,84468,84820,Y,0,21.029
6093a6d4e3b5f44c89d7dd20,126,2019/05/07,N,0,12,141691,20℃,22℃,小雨,88119,82152,Y,0,57.288
6093a6d4e3b5f44c89d7dd21,127,2019/05/08,N,0,12,141691,21℃,24℃,小雨~阴,83348,77621,Y,0,13.64
6093a6d4e3b5f44c89d7dd22,128,2019/05/09,N,0,12,141691,22℃,23℃,小雨,84186,78963,Y,0,17.125
6093a6d4e3b5f44c89d7dd23,129,2019/05/10,N,0,12,141691,22℃,24℃,小雨,98636,90574,Y,0,26.457
6093a6d4e3b5f44c89d7dd24,130,2019/05/11,Y,週六,12,141691,22℃,25℃,小雨,91028,84173,Y,0,31.91
6093a6d4e3b5f44c89d7dd25,131,2019/05/12,Y,週日,12,141691,23℃,27℃,小雨,95283,81899,Y,0,21.936
6093a6d4e3b5f44c89d7dd26,132,2019/05/13,N,0,12,141691,23℃,28℃,多云,83511,68302,Y,0,21.067
6093a6d4e3b5f44c89d7dd27,133,2019/05/14,N,0,12,141691,23℃,27℃,多云~阴,86213,73113,Y,0,21.888
6093a6d4e3b5f44c89d7dd28,134,2019/05/15,N,0,12,141691,23℃,27℃,多云,101247,84715,Y,0,20.872
6093a6d4e3b5f44c89d7dd29,135,2019/05/16,N,0,12,141691,24℃,28℃,小雨,81297,78642,Y,0,13.547
6093a6d4e3b5f44c89d7dd2a,136,2019/05/17,N,0,12,141691,24℃,28℃,小雨,75391,89193,Y,0,29.496
6093a6d4e3b5f44c89d7dd2b,137,2019/05/18,Y,週六,12,141691,24℃,28℃,小雨~阴,68382,90146,Y,0,45.289
6093a6d4e3b5f44c89d7dd2c,138,2019/05/19,Y,週日,12,141691,24℃,28℃,小雨~阴,76334,89486,Y,0,40.083
6093a6d4e3b5f44c89d7dd2d,139,2019/05/20,N,0,12,141691,21℃,26℃,大雨~小雨,61855,86339,Y,0,16.854
6093a6d4e3b5f44c89d7dd2e,140,2019/05/21,N,0,12,141691,20℃,23℃,多云,61636,83654,Y,0,17.916
6093a6d4e3b5f44c89d7dd2f,141,2019/05/22,N,0,12,141691,21℃,26℃,多云~小雨,61673,77578,Y,0,17.165
6093a6d4e3b5f44c89d7dd30,142,2019/05/23,N,0,12,141691,22℃,25℃,小雨~多云,65951,75570,Y,0,20.865
6093a6d4e3b5f44c89d7dd31,143,2019/05/24,N,0,12,141691,23℃,26℃,多云,79781,81249,Y,0,15.899
6093a6d4e3b5f44c89d7dd32,144,2019/05/25,Y,週六,12,141691,23℃,26℃,阴,81103,78373,Y,0,24.329
6093a6d4e3b5f44c89d7dd33,145,2019/05/26,Y,週日,12,141691,23℃,27℃,阴,84666,83689,Y,0,32.025
6093a6d4e3b5f44c89d7dd34,146,2019/05/27,N,0,12,141691,23℃,27℃,小雨,71871,85330,N,0,20.209
6093a6d4e3b5f44c89d7dd35,147,2019/05/28,N,0,12,141691,21℃,25℃,中雨~小雨,68824,78314,Y,0,21.053
6093a6d4e3b5f44c89d7dd36,148,2019/05/29,N,0,12,141691,21℃,24℃,阴~多云,77964,82732,Y,0,22.086
6093a6d4e3b5f44c89d7dd37,149,2019/05/30,N,0,12,141691,23℃,27℃,多云~阴,79665,76959,Y,0,19.209
6093a6d4e3b5f44c89d7dd38,150,2019/05/31,N,0,12,141691,23℃,27℃,小雨,85231,90171,Y,0,18.401
6093a6d4e3b5f44c89d7dd39,151,2019/06/01,Y,週六,12,141691,24℃,27℃,中雨~小雨,86492,80824,N,0,37.635
6093a6d4e3b5f44c89d7dd3a,152,2019/06/02,Y,週日,12,141691,24℃,28℃,多云,87690,87158,N,0,37.408
6093a6d4e3b5f44c89d7dd3b,153,2019/06/03,N,0,12,141691,23℃,28℃,小雨,82132,88972,Y,0,13.88
6093a6d4e3b5f44c89d7dd3c,154,2019/06/04,N,0,12,141691,23℃,27℃,小雨~多云,74889,77584,Y,0,17.988
6093a6d4e3b5f44c89d7dd3d,155,2019/06/05,N,0,12,141691,24℃,28℃,多云~阴,78776,81928,Y,0,16.809
6093a6d4e3b5f44c89d7dd3e,156,2019/06/06,N,0,12,141691,25℃,29℃,阴,81635,83591,Y,0,22.557
6093a6d4e3b5f44c89d7dd3f,157,2019/06/07,Y,端午節彈性放假,12,141691,25℃,29℃,阴,86838,84525,Y,0,18.812
6093a6d4e3b5f44c89d7dd40,158,2019/06/08,Y,週六,12,141691,24℃,29℃,阴,85932,79772,Y,0,20.821
6093a6d4e3b5f44c89d7dd41,159,2019/06/09,Y,週日,12,141691,25℃,29℃,阴,89842,85770,Y,0,39.629
6093a6d4e3b5f44c89d7dd42,160,2019/06/10,N,0,12,141691,23℃,28℃,中雨~大雨,84138,77785,Y,0,20.204
6093a6d4e3b5f44c89d7dd43,161,2019/06/11,N,0,12,141691,22℃,25℃,暴雨~中雨,82683,75032,Y,0,24.775
6093a6d4e3b5f44c89d7dd44,162,2019/06/12,N,0,12,141691,23℃,25℃,大雨~中雨,80746,75836,Y,0,21.136
6093a6d4e3b5f44c89d7dd45,163,2019/06/13,N,0,12,141691,23℃,25℃,大雨,78229,74339,Y,0,18.028
6093a6d4e3b5f44c89d7dd46,164,2019/06/14,N,0,12,141691,22℃,25℃,中雨~多云,83792,79973,Y,0,22.376
6093a6d4e3b5f44c89d7dd47,165,2019/06/15,Y,週六,12,141691,22℃,27℃,多云,88644,82220,Y,0,36.004
6093a6d4e3b5f44c89d7dd48,166,2019/06/16,Y,週日,12,141691,23℃,28℃,阴,81527,83018,Y,0,36.142
6093a6d4e3b5f44c89d7dd49,167,2019/06/17,N,0,12,141691,24℃,28℃,中雨~小雨,73551,70587,Y,0,21.24
6093a6d4e3b5f44c89d7dd4a,168,2019/06/18,N,0,12,141691,25℃,29℃,小雨~阴,73330,75090,Y,0,14.008
6093a6d4e3b5f44c89d7dd4b,169,2019/06/19,N,0,12,141691,26℃,30℃,阴,75932,75698,Y,0,11.581
6093a6d4e3b5f44c89d7dd4c,170,2019/06/20,N,0,12,141691,25℃,30℃,阴,78368,83184,Y,0,8.622
6093a6d4e3b5f44c89d7dd4d,171,2019/06/21,N,0,12,141691,26℃,31℃,多云~阴,77322,85583,Y,0,18.01
6093a6d4e3b5f44c89d7dd4e,172,2019/06/22,Y,週六,12,141691,25℃,30℃,阴~小雨,78704,84586,Y,0,35.905
6093a6d4e3b5f44c89d7dd4f,173,2019/06/23,Y,週日,12,141691,23℃,27℃,大雨~中雨,91559,93015,Y,0,52.929
6093a6d4e3b5f44c89d7dd50,174,2019/06/24,N,0,12,141691,22℃,26℃,大雨~小雨,80474,85003,Y,0,24.684
6093a6d4e3b5f44c89d7dd51,175,2019/06/25,N,0,12,141691,23℃,28℃,小雨,74036,78736,Y,0,26.978
6093a6d4e3b5f44c89d7dd52,176,2019/06/26,N,0,12,141691,23℃,27℃,小雨,78442,83398,Y,0,18.086
6093a6d4e3b5f44c89d7dd53,177,2019/06/27,N,0,12,141691,25℃,29℃,小雨~多云,73328,77449,Y,0,25.081
6093a6d4e3b5f44c89d7dd54,178,2019/06/28,N,0,12,141691,25℃,30℃,多云,92694,88800,Y,0,21.462
6093a6d4e3b5f44c89d7dd55,179,2019/06/29,Y,週六,12,141691,29℃,30℃,小雨,86014,83492,Y,0,30.077
